meat,meatLabel,meatitem,unit,Item,ItemLabel,Ele,Factor
B1000,Meat of bovine animals,EL,THS_HD,21111.01,"Meat of cattle, fresh or chilled",31,1
B1000,Meat of bovine animals,EL,THS_HD,21112,"Meat of buffalo, fresh or chilled",31,1
B4100,Sheep,EL,THS_HD,21115,"Meat of sheep, fresh or chilled",31,1
B4200,Goat,EL,THS_HD,21116,"Meat of goat, fresh or chilled",31,1
B3100,Pigmeat,EL,THS_HD,21113.01,"Meat of pig, fresh or chilled",31,1
B7100,Chicken,EL,THS_HD,21121,"Meat of chickens, fresh or chilled",31,1
B7420,Guinea fowl,EL,THS_HD,21125,"Meat of guinea fowl, fresh or chilled",31,1
B7200,Duck,EL,THS_HD,21122,"Meat of ducks, fresh or chilled",31,1
B7410,Goose,EL,THS_HD,21123,"Meat of geese, fresh or chilled",31,1
B7300,Turkey,EL,THS_HD,21124,"Meat of turkeys, fresh or chilled",31,1
B8000,Meat of rabbits,EL,THS_HD,21114,"Meat of rabbits and hares, fresh or chilled",31,1
B1000,Meat of bovine animals,EL,THS_T,21111.01,"Meat of cattle, fresh or chilled",51,1
B1000,Meat of bovine animals,EL,THS_T,21112,"Meat of buffalo, fresh or chilled",51,1
B4100,Sheep,EL,THS_T,21115,"Meat of sheep, fresh or chilled",51,1
B4200,Goat,EL,THS_T,21116,"Meat of goat, fresh or chilled",51,1
B3100,Pigmeat,EL,THS_T,21113.01,"Meat of pig, fresh or chilled",51,1
B7100,Chicken,EL,THS_T,21121,"Meat of chickens, fresh or chilled",51,1
B7420,Guinea fowl,EL,THS_T,21125,"Meat of guinea fowl, fresh or chilled",51,1
B7200,Duck,EL,THS_T,21122,"Meat of ducks, fresh or chilled",51,1
B7410,Goose,EL,THS_T,21123,"Meat of geese, fresh or chilled",51,1
B7300,Turkey,EL,THS_T,21124,"Meat of turkeys, fresh or chilled",51,1
B8000,Meat of rabbits,EL,THS_T,21114,"Meat of rabbits and hares, fresh or chilled",51,1
